Subject,Block,Round,Condition,Index,from,to,set,Object,Position,StartTime,EndTime,FB_EndTime,dError,dMoved,totalAngle,directionChange,nManipulation,estimation_dError,Time,TimeCompensated,Q1,Q2,Q3,Q4,Q1z,Q2z,Q3z,Q4z,MemoryPerform,PathEfficiency,TimeEfficiency,tCenter,tPeri,dEndpoint
2,1,1,2,7,3,1,4,ABat,9,1179.593,1186.328,1192.630,15.711,76.802,94.400,3,4,17.81151,2.997437,1.546155165,-3,-3,-3,-3,0,0,0,0,0.956744358,1.005782505,15.19390221,0,5.027,49.41791194
2,1,1,2,8,1,2,4,Chicken,15,1193.640,1201.117,1209.806,11.304,79.110,56.801,1,1,12.98614,2.115723,1.057612313,-3,-3,-3,-3,0,0,0,0,0.976238031,1,14.34165077,0,5.48,49.09722149
2,1,1,2,9,2,3,4,Guitar,3,1210.816,1220.856,1227.804,2.687,87.953,160.003,5,6,15.54906,2.058472,0.791534591,-3,-3,-3,-3,0,0,0,0,0.998011988,1.009139332,10.59544266,1.2,7.004,50.6243696
2,1,1,2,10,3,1,4,ABat,9,1228.814,1235.869,1244.908,31.765,67.107,92.800,2,2,18.73755,2.7854,1.258664426,-3,-3,-3,-3,0,0,0,0,0.844178808,1.017990293,12.1453687,0,5.506,50.20919844
2,1,1,2,11,1,3,4,Guitar,3,1245.919,1259.418,1268.386,18.420,73.994,146.401,1,2,15.38853,5.337158,4.083300576,-3,-3,-3,-3,0,0,0,0,0.942150019,1,6.500985429,0,11.301,50.53476187
2,1,1,2,12,3,2,4,Chicken,15,1269.396,1275.804,1282.763,14.912,74.895,70.403,3,3,4.851666,1.223145,0.827831254,-3,-3,-3,-3,0,0,0,0,0.960675834,1.003666055,16.18352343,0,4.624,46.01448061
2,1,1,2,13,2,1,4,ABat,9,1283.763,1298.328,1304.104,10.062,87.325,246.401,4,7,20.39463,3.329224,1.667469548,-3,-3,-3,-3,0,0,0,0,0.980742746,1.071487039,6.720015696,0,12.957,50.84547858
2,1,1,2,14,1,2,4,Chicken,15,1305.113,1322.770,1327.930,9.359,77.919,198.401,4,7,4.288959,1.810059,1.460594621,-3,-3,-3,-3,0,0,0,0,0.983094101,1.010692057,4.950002811,0,15.607,46.97367363
2,1,2,1,1,0,3,1,Old_Telephone,12,1614.231,1625.952,1633.441,4.352,49.370,62.400,3,3,2.562914,1.927856,1.719029767,-3,-3,-3,-3,0,0,0,0,0.995567709,1,5.133553713,6.809,2.8,48.61049141
2,1,2,1,2,3,2,1,Apple,0,1634.441,1646.738,1657.084,6.071,87.826,134.400,4,4,12.12558,2.094482,1.106489742,-3,-3,-3,-3,0,0,0,0,0.992143711,1.000021652,9.621026849,1.8,7.299,48.46876633
2,1,2,1,3,2,1,1,Broom,6,1658.094,1673.813,1680.172,1.844,87.598,231.200,4,5,5.398194,1.951416,1.511571153,-3,-3,-3,-3,0,0,0,0,0.99892954,1.018753714,6.5554728,0,13.346,49.93810476
2,1,2,1,4,1,2,1,Apple,0,1681.182,1683.910,1704.990,74.986,10.500,14.400,1,1,70.64205,15.2019,9.445985766,-3,-3,-3,-3,0,0,0,0,0.337068055,1.000241192,12.13192286,0,0.758,41.67274928
2,1,2,1,5,2,3,1,Old_Telephone,12,1706.000,1717.839,1724.151,8.269,78.307,138.400,3,3,11.61148,2.716309,1.77020561,-3,-3,-3,-3,0,0,0,0,0.986452462,1.003765421,8.855880754,1.3,7.54,47.21845219
2,1,2,1,6,3,1,1,Broom,6,1725.152,1743.069,1754.403,21.659,78.250,241.600,3,6,6.814357,1.656006,1.100772192,-3,-3,-3,-3,0,0,0,0,0.92222324,1.049533963,4.944392184,0,15.788,51.54547034
2,1,2,1,7,1,3,1,Old_Telephone,12,1755.412,1772.870,1778.208,11.932,84.888,346.400,6,8,7.394614,2.420166,1.817652851,-3,-3,-3,-3,0,0,0,0,0.97379183,1.080030611,5.498478321,2.4,13.028,49.63933936
2,1,2,1,8,3,2,1,Apple,0,1779.218,1787.942,1793.962,13.449,78.957,79.200,3,3,9.074855,3.644409,2.904989815,-3,-3,-3,-3,0,0,0,0,0.967423198,1.002690199,12.10132159,0,6.522,50.55415639
2,1,2,1,9,2,1,1,Broom,6,1794.973,1805.282,1810.067,2.716,84.850,42.400,1,1,2.208164,1.00061,0.820688797,-3,-3,-3,-3,0,0,0,0,0.997976728,1,10.2410392,1.1,7.167,50.25505397
2,1,2,1,10,1,2,1,Apple,0,1811.076,1819.694,1825.843,14.736,79.135,116.800,3,4,11.02518,2.316406,1.418074334,-3,-3,-3,-3,0,0,0,0,0.961518584,1.009553687,12.03038457,0,6.564,51.02118102
